Key,KO,EN,JA
monsters.void_crawler.tip,"체력 400의 고속 근접 적. 탱커가 어그로를 유지하기 어렵다. CC와 소환수를 함께 활용하라.","High-speed melee enemy with 400 HP. Hard for tanks to maintain aggro. Utilize CC and summons together.","体力400の高速近接敵。タンクがヘイトを維持しにくい。CCと召喚獣を一緒に活用しろ。"
monsters.void_dragon.description,"공허에서 깨어난 드래곤. HP 10000에 방어력 80, 원거리 공허 브레스와 AOE 강타를 함께 사용한다.","A dragon awakened from the void. HP 10000, Defense 80. Uses both ranged void breath and AoE strike.","虚空から目覚めたドラゴン。HP10000、防御力80、遠距離の虚空のブレスとAOE強打を併用する。"
monsters.void_dragon.displayName,"공허 드래곤",Void Dragon,ヴォイドドラゴン
monsters.void_dragon.tip,"Wave 45+ 보스. 공허 드래곤은 모든 전략이 필요한 최종 보스. 탱커-힐러-딜러 완벽한 균형 파티만이 상대할 수 있다.","Wave 45+ Boss. The Void Dragon is the final boss requiring all strategies. Only a perfectly balanced Tank-Healer-DPS party can face it.","Wave 45+ ボス。虚空のドラゴンはすべての戦略が必要な最終ボス。タンク・ヒーラー・アタッカー host の完璧なバランスのパーティだけが相対できる。"
monsters.void_spirit.description,"현실 너머 공허에서 온 존재. 원거리 공허 광선으로 방어력을 무시하는 순수 마법 피해를 준다.","A being from the void beyond reality. Deals pure magic damage ignoring defense with ranged void beams.","現実の向こうの虚空から来た存在。遠距離の虚空光線で防御力を無視する純粋な魔法ダメージを与える。"
monsters.void_spirit.displayName,"공허 정령",Void Spirit,ヴォイドスピリット
monsters.void_spirit.tip,"공허 공격은 방어력을 무시한다. 체력이 많은 탱커를 전면에 세우고 힐러를 항상 대기시켜라.","Void attacks ignore defense. Place high HP tanks at the front and keep healers always on standby.","虚空の攻撃は防御力を無視する。体力の多いタンクを前面に立て、ヒーラーを常に待機させろ。"
monsters.void_walker.description,"공허 차원과 현실 세계를 넘나드는 존재. 어픽스: 분노 — HP 5000에 방어력 무시 공격.","A being traversing the void dimension and reality. Affix: Rage — Defense-ignoring attacks with 5000 HP.","虚空次元と現実世界を行き来する存在。アフィックス：激怒 — HP5000で防御力無視の攻撃。"
monsters.void_walker.displayName,"공허의 보행자",Void Walker,ヴォイドウォーカー
monsters.void_walker.tip,"Wave 30 보스. 체력 5000! 분노 전환이 빠르다. 고딜 원거리 파티로 최단 시간 내 처치가 최선.","Wave 30 Boss. HP 5000! Quick enrage transition. Best to kill in the shortest time with high damage ranged party.","Wave 30 ボス。体力5000！激怒への移行が早い。高火力の遠距離パーティで最短時間内に倒すのが最善。"
monsters.war_skeleton.description,"전쟁터에서 쓰러진 병사의 혼이 갑옷 채 깨어났다. 실력은 살아있던 때와 다름없다.","The soul of a fallen soldier awakened in armor. Its skills are no different from when it was alive.","戦場で倒れた兵士の魂が鎧ごと目覚めた。実力は生きていた時と変わらない。"
monsters.war_skeleton.displayName,"전쟁 해골",War Skeleton,戦骨兵
monsters.war_skeleton.tip,"기본 해골보다 체력과 공격력이 높다. 일반 해골 물량 사이에 섞여 탱커를 지치게 하니 우선 제거하라.","Higher HP and attack power than basic skeletons. Mixes in with normal skeleton swarms to exhaust tanks, so eliminate them first.","基本の骸骨より体力と攻撃力が高い。一般の骸骨の群れに混ざってタンクを疲弊させるので優先して排除しろ。"
monsters.wind_spirit.description,"바람 자체가 의지를 가진 존재. 속도 6.0으로 전장에서 가장 빠른 적이다.","Wind itself gaining a will. The fastest enemy on the battlefield with a speed of 6.0.","風自体が意志を持った存在。速度6.0で戦場で最も速い敵だ。"
monsters.wind_spirit.displayName,"바람 정령",Wind Spirit,風の精霊
monsters.wind_spirit.tip,"속도 6.0! 탱커를 무시하고 타워로 직행할 수 있다. CC 필수. 빙결 스킬이 없으면 막기 어렵다.","Speed 6.0! Can ignore tanks and go straight to the tower. CC is essential. Hard to stop without freeze skills.","速度6.0！タンクを無視してタワーに直行する可能性がある。CC必須。氷結スキルがなければ防ぐのは難しい。"
monsters.wolf.description,"무리 지어 달리는 야생 늑대. 속도 5.0의 맹수. 무리가 합쳐지면 어떤 방어선도 뚫는다.","Wild wolves running in packs. Beasts with a speed of 5.0. When packs merge, they break any defense line.","群れをなして走る野生の狼。速度5.0の猛獣。群れが合わさるとどんな防衛線も突破する。"
monsters.wolf.displayName,"늑대",Wolf,狼
monsters.wolf.tip,"빠른 속도와 물량. CC + 광역기로 초반에 집단을 쓸어내라. 개별 처리는 느리다.","Fast speed and numbers. Sweep the group early with CC + AoE. Individual processing is slow.","速い速度と物量。CC＋広域スキルで序盤に集団を掃討しろ。個別の処理は遅い。"
monsters.wood_golem.description,"나무가 마법으로 깨어난 원시적인 골렘. 체력은 낮지만 단단한 외피가 일격의 피해를 막아낸다.","A primitive golem of wood awakened by magic. Low HP, but a hard exterior blocks burst damage.","木が魔法で目覚めた原始的なゴーレム。体力は低いが、硬い外皮が一撃のダメージを防ぐ。"
monsters.wood_golem.displayName,"나무 골렘",Wood Golem,木のゴーレム
monsters.wood_golem.tip,"골렘 계열의 핵심: 체력은 낮고 방어력은 매우 높다. 다중 타격 스킬이나 방어 무시 스킬로 공략하라.","Core of golem types: Low HP and very high defense. Attack with multi-hit skills or defense-ignoring skills.","ゴーレム系の核心：体力は低く防御力が非常に高い。多段ヒットスキルや防御無視スキルで攻略しろ。"
