Key,KO,EN,JA
heroes.ssr_death_knight.skills.anti_magic_shell.name,"대마법 보호막",Anti-Magic Shell,対魔法シールド
heroes.ssr_death_knight.skills.anti_magic_shell.desc,"아군 전체 5초간 모든 마법 피해 무효화","Nullifies all magic damage for all allies for 5s.","味方全体、5秒間すべての魔法ダメージを無効化。"
heroes.ssr_death_knight.skills.outbreak.name,"돌발 열병",Outbreak,突発熱病
heroes.ssr_death_knight.skills.outbreak.desc,"모든 적에게 즉시 강력한 질병(DoT) 전파","Immediately spreads powerful disease (DoT) to all enemies.","すべての敵に即座に強力な疾病（DoT）を伝播。"
heroes.ssr_death_knight.skills.summon_abom.name,"누더기골렘 소환",Summon Abomination,ツギハギゴーレム召喚
heroes.ssr_death_knight.skills.summon_abom.desc,"거대한 누더기골렘 1명 소환 (상시 탱커)",Summons 1 giant Abomination (Permanent Tank).,巨大なツギハギゴーレム1体を召喚（常時タンク）。
heroes.ssr_death_knight.summons.abomination.name,"누더기골렘",Abomination,ツギハギゴーレム
heroes.ssr_death_knight.skills.army_of_dead.name,"사멸의 군단",Army of the Dead,死者の軍団
heroes.ssr_death_knight.skills.army_of_dead.desc,"구울 15마리를 소환하여 전장 초토화",Summons 15 Ghouls to devastate the battlefield.,グール15体を召喚して戦場を焦土化。
heroes.ssr_death_knight.summons.undead.name,"망자",Undead,亡者
heroes.ssr_poison_mancer.name,"맹독술사",Venomancer,猛毒の術師
heroes.ssr_poison_mancer.lore,"맹독의 늪지대에서 금지된 술법을 익힌 자. 그의 역병은 생명이 있는 모든 것을 썩게 만든다.","One who learned forbidden arts in the venomous swamps. His plague rots everything that has life.","猛毒の沼地で禁じられた術を習得した者。彼の疫病は命あるすべてのものを腐らせる。"
heroes.ssr_poison_mancer.routes.venomancer_plague.name,"역병",Plague,疫病
heroes.ssr_poison_mancer.routes.venomancer_plague.variantName,"맹독 확산",Venom Spread,猛毒拡散
heroes.ssr_poison_mancer.routes.venomancer_plague.variantDesc,"독 피해 시 {value}% 확률로 대상에게 추가 맹독 폭발 발생.","When Poison damage dealt, {value}% Chance for additional venom explosion.","毒ダメージ時{value}%の確率で対象に追加の猛毒爆発が発生。"
heroes.ssr_poison_mancer.skills.plague_cloud.name,"역병 구름",Plague Cloud,疫病の雲
heroes.ssr_poison_mancer.skills.plague_cloud.desc,"넓은 범위 지속 독 피해 및 방어력 30% 감소","Wide area continuous Poison damage and reduces DEF by 30%.","広範囲の持続毒ダメージおよび防御力30%減少。"
heroes.ssr_poison_mancer.skills.venomous_gale.name,"독성 돌풍",Venomous Gale,毒性突風
heroes.ssr_poison_mancer.skills.venomous_gale.desc,"직선 적들에게 ATK×5 피해 및 3초 속박","Deals ATK x5 Damage to enemies in a line and roots for 3s.","直線の敵に攻撃力x5のダメージおよび3秒間の束縛。"
heroes.ssr_poison_mancer.skills.contagion.name,"전염",Contagion,伝染
heroes.ssr_poison_mancer.skills.contagion.desc,"중독된 적이 죽으면 주변 적에게 강력한 독 전이","When a poisoned enemy dies, transfers powerful poison to nearby enemies.","中毒状態の敵が死ぬと、周囲の敵に強力な毒を転移。"
heroes.ssr_poison_mancer.skills.toxic_injection.name,"독극물 주입",Toxic Injection,毒物注入
heroes.ssr_poison_mancer.skills.toxic_injection.desc,"패시브: 자신의 모든 공격에 강력한 지속 독 피해 추가","Passive: Adds powerful continuous Poison damage to all self attacks.","パッシブ：自身のすべての攻撃に強力な持続毒ダメージを追加。"
heroes.ssr_poison_mancer.skills.epidemic.name,"대역병",Epidemic,大疫病
heroes.ssr_poison_mancer.skills.epidemic.desc,"전장의 모든 적 즉시 중독 및 HP 50% 피해 (보스 ATK×15)","Immediately poisons all enemies and deals 50% HP Damage (Bosses take ATK x15).","戦場のすべての敵を即座に中毒状態にしHP50%ダメージ（ボスは攻撃力x15）。"
heroes.ssr_poison_mancer.routes.venomancer_voodoo.name,"부두",Voodoo,ブードゥー
heroes.ssr_poison_mancer.routes.venomancer_voodoo.variantName,"어둠의 저주",Shadow Curse,闇の呪い
heroes.ssr_poison_mancer.routes.venomancer_voodoo.variantDesc,"공격 시 {value}% 확률로 대상을 5초간 개구리로 변이시킵니다.","When Attack, {value}% Chance to polymorph target into a frog for 5s.","攻撃時{value}%の確率で対象を5秒間カエルに変異させる。"
heroes.ssr_poison_mancer.skills.hex_totem.name,"주술 토템",Hex Totem,呪術トーテム
heroes.ssr_poison_mancer.skills.hex_totem.desc,"주변 적들을 주기적으로 변이시키는 토템 소환",Summons a totem that periodically polymorphs nearby enemies.,周囲の敵を周期的に変異させるトーテムを召喚。
heroes.ssr_poison_mancer.skills.voodoo_curse.name,"부두의 저주",Voodoo Curse,ブードゥーの呪い
heroes.ssr_poison_mancer.skills.voodoo_curse.desc,"적 3명에게 받는 피해 50% 증가 디버프 부여","Grants 50% Damage Taken increase debuff to 3 enemies.","敵3体に受けるダメージ50%増加のデバフを付与。"
heroes.ssr_poison_mancer.skills.shadow_voodoo.name,"그림자 부두",Shadow Voodoo,影のブードゥー
heroes.ssr_poison_mancer.skills.shadow_voodoo.desc,"아군 전체에게 공격 시 20% 흡혈 효과 부여 10초","Grants 20% Life Steal effect to all allies for 10s.","味方全体に攻撃時20%の吸血効果を付与、10秒間。"
heroes.ssr_poison_mancer.skills.zombie_army.name,"좀비 군단",Zombie Army,ゾンビ軍団
heroes.ssr_poison_mancer.skills.zombie_army.desc,"느리지만 강력한 좀비 10마리 소환",Summons 10 slow but powerful zombies.,遅いが強力なゾンビ10体を召喚。
heroes.ssr_poison_mancer.summons.zombie.name,"좀비",Zombie,ゾンビ
heroes.ssr_poison_mancer.skills.death_ritual.name,"죽음의 의식",Death Ritual,死の儀式
heroes.ssr_poison_mancer.skills.death_ritual.desc,"가장 강력한 적 1명을 즉사시킴 (보스 최대HP 30% 피해)","Instant Kill the strongest enemy (Bosses take 30% of Max HP).","最強の敵1体を即死させる（ボスは最大HPの30%ダメージ）。"
heroes.ssr_merc_king.name,"용병왕",Mercenary King,傭兵王
heroes.ssr_merc_king.lore,"모든 용병들이 경외하는 전장의 지배자. 돈과 전략만 있다면 어떤 전쟁도 승리로 이끈다.","Ruler of the battlefield respected by all mercenaries. Leads any war to victory with money and strategy.","すべての傭兵が畏敬の念を抱く戦場の支配者。金と戦略さえあれば、どんな戦争も勝利へと導く。"
heroes.ssr_merc_king.routes.merc_king_tactics.name,"전술",Tactics,戦術
heroes.ssr_merc_king.routes.merc_king_tactics.variantName,"전투 지휘",Battle Command,戦闘指揮
heroes.ssr_merc_king.routes.merc_king_tactics.variantDesc,"아군 전체 공격속도 {value}% 증가.","Increases All Allies' Attack Speed by {value}%.","味方全体の攻撃速度{value}%増加。"
heroes.ssr_merc_king.skills.war_cry.name,"승리의 함성",Victory Shout,勝利の雄叫び
heroes.ssr_merc_king.skills.war_cry.desc,"10초간 아군 전체 공격력 30% 증가","Increases All Allies' ATK by 30% for 10s.","10秒間味方全体の攻撃力30%増加。"
heroes.ssr_merc_king.skills.bounty_hunt.name,"현상금 사냥",Bounty Hunt,賞金稼ぎ
heroes.ssr_merc_king.skills.bounty_hunt.desc,"적 처치 시 획득 골드 2배 증가 (영구)","Doubles gold acquired upon killing enemies (Permanent).","敵を倒した際の獲得ゴールドを2倍に増やす（永久）。"
heroes.ssr_merc_king.skills.tactical_strike.name,"전술적 일격",Tactical Strike,戦術的一撃
heroes.ssr_merc_king.skills.tactical_strike.desc,"강적 단일 ATK×10 물리 피해","Deals Single ATK x10 Physical Damage to a powerful enemy.","強敵単体に攻撃力x10の物理ダメージ。"
heroes.ssr_merc_king.skills.recruit.name,"용병 고용",Recruit Mercenaries,傭兵雇用
heroes.ssr_merc_king.skills.recruit.desc,"강화 용병 2명 추가 소환 (상시 유지)",Summons 2 additional Enhanced Mercenaries (Permanent).,強化傭兵2体を追加召喚（常時維持）。
heroes.ssr_merc_king.summons.elite_merc.name,"강화 용병",Enhanced Mercenary,強化傭兵
heroes.ssr_merc_king.skills.kings_army.name,"용병단 소환",Summon Mercenary Group,傭兵団召喚
heroes.ssr_merc_king.skills.kings_army.desc,"정예 용병 5명을 소환하여 20초간 함께 전투",Summons 5 Veteran Mercenaries to fight together for 20s.,精鋭傭兵5体を召喚して20秒間共に戦闘。
heroes.ssr_merc_king.summons.veteran_merc.name,"정예 용병",Veteran Mercenary,精鋭傭兵
heroes.ssr_merc_king.routes.merc_king_assassin.name,"암살",Assassin,暗殺
heroes.ssr_merc_king.routes.merc_king_assassin.variantName,"비정한 거래",Ruthless Deal,非情な取引
heroes.ssr_merc_king.routes.merc_king_assassin.variantDesc,"공격 시 {value}% 확률로 대상의 방어력 50% 무시.","When Attack, {value}% Chance to ignore 50% of the target's DEF.","攻撃時{value}%の確率で対象の防御力50%を無視。"
heroes.ssr_merc_king.skills.poison_blade.name,"독 묻은 칼날",Poisoned Blade,毒塗りの刃
heroes.ssr_merc_king.skills.poison_blade.desc,"단일 ATK×4 + 강력한 독 DoT","Deals Single ATK x4 + powerful Poison DoT.","単体に攻撃力x4 + 強力な毒DoT。"
heroes.ssr_merc_king.skills.shadow_step.name,"그림자 추적",Shadow Step,シャドウステップ
heroes.ssr_merc_king.skills.shadow_step.desc,"대상 뒤로 이동 후 ATK×6 피해","Moves behind the target and deals ATK x6 Damage.","対象の背後に移動して攻撃力x6のダメージ。"
heroes.ssr_merc_king.skills.blood_money.name,"피의 대가",Blood Money,血の代償
heroes.ssr_merc_king.skills.blood_money.desc,"패시브: 공격 시 피해량의 20% 골드 획득","Passive: Acquires gold equal to 20% of damage dealt upon attack.","パッシブ：攻撃時にダメージ量の20%のゴールドを獲得。"
heroes.ssr_merc_king.skills.execution.name,"단두대",Execution,断頭台
heroes.ssr_merc_king.skills.execution.desc,"HP 30% 이하 적 즉사 (보스 대량 피해)","Instant Kill enemies with HP below 30% (Massive damage to Bosses).","HP30%以下の敵を即死（ボスには大量ダメージ）。"
heroes.ssr_merc_king.skills.contract_kill.name,"살인 계약",Contract Kill,殺しの契約
heroes.ssr_merc_king.skills.contract_kill.desc,"모든 적에게 계약 표식: 10초 후 ATK×20 피해","Marks all enemies: ATK x20 Damage after 10s.","すべての敵に契約の標識：10秒後に攻撃力x20のダメージ。"
heroes.ssr_ele_scholar.name,"정령학자",Elemental Scholar,精霊学者
heroes.ssr_ele_scholar.lore,"모든 정령의 힘을 학술적으로 완성한 대마법사. 속성의 상성을 이용하여 전장을 지배한다.","Archmage who academically perfected the power of all elementals. Rules the battlefield using elemental affinities.","すべての精霊の力を学術的に完成させた大魔導師。属性の相性を利用して戦場を支配する。"
heroes.ssr_ele_scholar.routes.ele_master_theory.name,"원소학",Elementalism,元素学
heroes.ssr_ele_scholar.routes.ele_master_theory.variantName,"정령의 공명",Elemental Resonance,精霊の共鳴
heroes.ssr_ele_scholar.routes.ele_master_theory.variantDesc,"모든 시너지 효과 {value}% 강화.","Enhances all synergy effects by {value}%.","すべてのシナジー効果を{value}%強化する。"
heroes.ssr_ele_scholar.skills.elemental_shift.name,"원소 치환",Elemental Shift,元素置換
heroes.ssr_ele_scholar.skills.elemental_shift.desc,"자신의 공격 속성 무작위 변경 및 피해 20% 증가",Randomly changes self attack element and increases damage by 20%.,自身の攻撃属性をランダムに変更しダメージを20%増加させる。
heroes.ssr_ele_scholar.skills.prismatic_beam.name,"프리즘 빔",Prismatic Beam,プリズムビーム
heroes.ssr_ele_scholar.skills.prismatic_beam.desc,"적 3명에게 3가지 속성 피해 동시 적용 ATK×4","Simultaneously deals 3 types of elemental damage for ATK x4 to 3 enemies.","敵3体に3種類の属性ダメージを同時適用、攻撃力x4。"
heroes.ssr_ele_scholar.skills.catalyst.name,"촉매 반응",Catalyst Reaction,触媒反応
heroes.ssr_ele_scholar.skills.catalyst.desc,"적의 해로운 효과 지속시간 2배 증가",Doubles the duration of harmful effects on enemies.,敵の弱体化効果の持続時間を2倍に増やす。
heroes.ssr_ele_scholar.skills.arcane_intellect.name,"신비한 지능",Arcane Intellect,神秘的知性
heroes.ssr_ele_scholar.skills.arcane_intellect.desc,"아군 전체 스킬 피해 30% 증가 [패시브]","Passive: Increases All Allies' Skill Damage by 30%.","パッシブ：味方全体のスキルダメージ30%増加。"
heroes.ssr_ele_scholar.skills.elemental_overload.name,"원소 과부하",Elemental Overload,元素過負荷
heroes.ssr_ele_scholar.skills.elemental_overload.desc,"화면 전체에 4대 원소 대폭발 발생 ATK×12","Causes a massive 4-element explosion across the screen for ATK x12.","画面全体に4大元素の大爆発が発生、攻撃力x12。"
heroes.ssr_ele_scholar.routes.ele_master_battle.name,"전투마법",Battle Magic,戦闘魔法
heroes.ssr_ele_scholar.routes.ele_master_battle.variantName,"마력 폭주",Mana Surge,魔力暴走
heroes.ssr_ele_scholar.routes.ele_master_battle.variantDesc,"공격 시 {value}% 확률로 쿨타임 중인 스킬 하나 초기화.","When Attack, {value}% Chance to reset one skill on cooldown.","攻撃時{value}%の確率でクールタイム中のスキル1つを初期化。"
heroes.ssr_ele_scholar.skills.arcane_blast.name,"비전 작렬",Arcane Blast,秘術炸裂
heroes.ssr_ele_scholar.skills.arcane_blast.desc,"단일 ATK×6 피해 + 다음 작렬 강화","Deals ATK x6 Damage + strengthens next Blast.","攻撃力x6のダメージ + 次の炸裂を強化。"
heroes.ssr_ele_scholar.skills.frost_fire_bolt.name,"냉기화염 화살",Frostfire Bolt,冷気火炎の矢
heroes.ssr_ele_scholar.skills.frost_fire_bolt.desc,"냉기+화염 복합 피해 및 슬로우","Deals combined Frost + Fire Damage and Slow.","冷気+火炎の複合ダメージおよびスロウ。"
heroes.ssr_ele_scholar.skills.mirror_image.name,"환영 분신",Mirror Image,幻影分身
heroes.ssr_ele_scholar.skills.mirror_image.desc,"자신과 동일한 공격력을 가진 분신 2개 소환",Summons 2 Clones with same ATK as self.,自身と同一の攻撃力を持つ分身を2体召喚。
heroes.ssr_ele_scholar.summons.mage_clone.name,"마법사 분신",Mage Clone,魔導師の分身
heroes.ssr_ele_scholar.skills.focus_magic.name,"마력 집중",Focus Magic,魔力集中
heroes.ssr_ele_scholar.skills.focus_magic.desc,"10초간 자신의 공격속도 100% 증가","Increases self Attack Speed by 100% for 10s.","10秒間自身の攻撃速度100%増加。"
heroes.ssr_ele_scholar.skills.greater_pyro.name,"대지옥불 작렬",Greater Pyroblast,大地獄火炸裂
heroes.ssr_ele_scholar.skills.greater_pyro.desc,"대상 적 전체 최대HP 35% 피해","Deals 35% Max HP Damage to all target enemies.","対象の敵全体に最大HPの35%ダメージ。"
heroes.ssr_sea_ruler.name,"심해의 지배자",Sea Ruler,深海の支配者
heroes.ssr_sea_ruler.lore,"가라앉은 신전의 영원한 수호신. 바다의 생명력과 파괴적인 해일을 동시에 다스린다.","Eternal guardian of the sunken temple. Rules over sea's vitality and destructive tsunamis.","沈んだ神殿の永遠の守護神。海の生命力と破壊的な津波を同時に操る。"
heroes.ssr_sea_ruler.routes.sea_ruler_tide.name,"해일",Tide,海鳴り
heroes.ssr_sea_ruler.routes.sea_ruler_tide.variantName,"생명의 파도",Wave of Life,生命の波
heroes.ssr_sea_ruler.routes.sea_ruler_tide.variantDesc,"힐 시 {value}% 확률로 아군 전체에게 추가 힐.","When Healing, {value}% Chance to grant additional heal to all allies.","回復時{value}%の確率で味方全体に追加回復。"
heroes.ssr_sea_ruler.skills.tsunami.name,"거대 해일",Tsunami,巨大津波
heroes.ssr_sea_ruler.skills.tsunami.desc,"적들을 멀리 밀쳐내고 ATK×5 물 피해","Knocks enemies back far and deals ATK x5 Water Damage.","敵を遠くに押し退け、攻撃力x5の水ダメージ。"
heroes.ssr_sea_ruler.skills.healing_tide.name,"치유의 조물",Healing Tide,癒しの潮
heroes.ssr_sea_ruler.skills.healing_tide.desc,"15초간 아군 전체 매초 3% 회복 토템 소환",Summons a totem that restores 3% HP to all allies every second for 15s.,15秒間味方全体を毎秒3%回復するトーテムを召喚。
heroes.ssr_sea_ruler.skills.water_shield.name,"심해의 가호",Water Shield,深海の加護
heroes.ssr_sea_ruler.skills.water_shield.desc,"아군 전체 방어력 40% 증가 및 보호막 부여","Increases all allies' DEF by 40% and grants shields.","味方全体の防御力40%増加およびシールド付与。"
heroes.ssr_sea_ruler.skills.cleanse.name,"정화의 물결",Cleanse Wave,浄化の波
heroes.ssr_sea_ruler.skills.cleanse.desc,"아군 전체 디버프 제거 및 ATK×6 치유","Removes all allies' debuffs and heals for ATK x6.","味方全体の弱体化効果を除去し攻撃力x6回復。"
heroes.ssr_sea_ruler.skills.blessing_of_abyss.name,"심해의 축복",Blessing of Abyss,深海の祝福
heroes.ssr_sea_ruler.skills.blessing_of_abyss.desc,"아군 전체 10초간 무적 및 완전 회복","Invincible and Full Restore for all allies for 10s.","味方全体、10秒間無敵および完全回復。"
heroes.ssr_sea_ruler.routes.sea_ruler_abyss.name,"심연",Abyss,深淵
heroes.ssr_sea_ruler.routes.sea_ruler_abyss.variantName,"심연의 공포",Abyssal Fear,深淵の恐怖
heroes.ssr_sea_ruler.routes.sea_ruler_abyss.variantDesc,"공격 시 {value}% 확률로 대상을 3초간 공포(이동불가) 상태로 만듭니다.","When Attack, {value}% Chance to Fear target (immobile) for 3s.","攻撃時{value}%の確率で対象を3秒間恐怖（移動不可）状態にする。"
heroes.ssr_sea_ruler.skills.abyss_bolt.name,"심연의 화살",Abyss Bolt,深淵の矢
heroes.ssr_sea_ruler.skills.abyss_bolt.desc,"단일 ATK×7 암흑+물 복합 피해","Deals Single ATK x7 Shadow + Water combined Damage.","単体に攻撃力x7の暗黒+水複合ダメージ。"
heroes.ssr_sea_ruler.skills.crushing_depths.name,"압착",Crushing Depths,圧搾
heroes.ssr_sea_ruler.skills.crushing_depths.desc,"대상의 이동속도를 90% 감소시키고 지속 피해",Reduces target's Move Speed by 90% and deals continuous damage.,対象の移動速度を90%減少させ、持続ダメージを与える。
heroes.ssr_sea_ruler.skills.summon_kraken.name,"크라켄의 촉수",Summon Kraken Tentacle,クラーケンの触手
heroes.ssr_sea_ruler.skills.summon_kraken.desc,"심연의 촉수 3개를 소환하여 무작위 적 공격",Summons 3 Abyssal Tentacles to attack random enemies.,深淵の触手3体を召喚してランダムな敵を攻撃。
heroes.ssr_sea_ruler.summons.tentacle.name,"심연의 촉수",Abyssal Tentacle,深淵の触手
heroes.ssr_sea_ruler.skills.maelstrom.name,"대소용돌이",Maelstrom,大渦巻
heroes.ssr_sea_ruler.skills.maelstrom.desc,"모든 적을 중앙으로 끌어당기며 ATK×5 피해","Pulls all enemies to the center and deals ATK x5 Damage.","すべての敵を中心へ引き寄せ、攻撃力x5のダメージ。"
heroes.ssr_sea_ruler.skills.eye_of_storm.name,"심연의 눈",Eye of Abyss,深淵の目
heroes.ssr_sea_ruler.skills.eye_of_storm.desc,"심연의 눈 소환: 20초간 전장 전체 적 지속 피해 및 침묵","Summon Eye of Abyss: Continuous damage and Silence to all enemies on battlefield for 20s.","深淵の目を召喚：20秒間戦場全体の敵に持続ダメージおよび沈黙。"
heroes.ssr_arch_angel.name,"대천사",Archangel,大天使
heroes.ssr_arch_angel.lore,"천공의 성채에서 내려온 신성한 존재.","A holy being descended from the celestial citadel.","天空の城塞から降りてきた神聖な存在。"
heroes.ssr_arch_angel.routes.arch_angel_holy.name,"신성",Holy,神聖
heroes.ssr_arch_angel.routes.arch_angel_holy.variantName,"성스러운 가호",Holy Protection,聖なる加護
heroes.ssr_arch_angel.routes.arch_angel_holy.variantDesc,"아군 사망 시 {value}% 확률로 즉시 부활 및 치유량 증가.","When ally dies, {value}% Chance to immediately resurrect and increase healing.","味方死亡時{value}%の確率で即座に復活し、回復量が増加する。"
heroes.ssr_arch_angel.skills.holy_light.name,"천상의 빛",Holy Light,天上の光
heroes.ssr_arch_angel.skills.holy_light.desc,"가장 낮은 HP 아군 즉시 완전 회복",Immediately Full Restore the ally with lowest HP.,最も低いHPの味方を即座に完全回復。
heroes.ssr_arch_angel.skills.hymn.name,"신성한 찬가",Holy Hymn,神聖な賛歌
heroes.ssr_arch_angel.skills.hymn.desc,"15초간 매초 아군 전체 HP 5% 회복",Restores 5% HP to all allies every second for 15s.,15秒間、味方全体のHPを毎秒5%回復。
heroes.ssr_arch_angel.skills.salvation.name,"구원",Salvation,救済
heroes.ssr_arch_angel.skills.salvation.desc,"사망 아군 전원 HP 100% 부활 (판당 1회)",Resurrect all dead allies with 100% HP (Once per game).,死亡した味方全員をHP100%で復活（対戦中1回）。
heroes.ssr_arch_angel.skills.shield.name,"신의 권능: 보호막",Power Word: Shield,真言・盾
heroes.ssr_arch_angel.skills.shield.desc,"아군 전체에게 거대 보호막 부여",Grants a massive shield to all allies.,味方全体に巨大なシールドを付与。
heroes.ssr_arch_angel.skills.absolute_salvation.name,"신성한 구원",Absolute Salvation,神聖なる救済
heroes.ssr_arch_angel.skills.absolute_salvation.desc,"30초간 아군 전체 무적 + 완전 회복","Invincible and Full Restore for all allies for 30s.","30秒間味方全体を無敵+完全回復。"
heroes.ssr_arch_angel.routes.arch_angel_judgement.name,"심판",Judgement,審判
heroes.ssr_arch_angel.routes.arch_angel_judgement.variantName,"빛의 심판",Light Judgement,光の審判
heroes.ssr_arch_angel.routes.arch_angel_judgement.variantDesc,"공격 시 {value}% 확률로 대상에게 신성 폭발 발생.","When Attack, {value}% Chance for a holy explosion on target.","攻撃時{value}%の確率で対象に神聖爆発が発生。"
heroes.ssr_arch_angel.skills.arrow.name,"천상의 화살",Celestial Arrow,天上の矢
heroes.ssr_arch_angel.skills.arrow.desc,"단일 대상 ATK×6 신성 피해",Deals ATK x6 Holy Damage to a single target.,単体に攻撃力x6の神聖ダメージ。
heroes.ssr_arch_angel.skills.blade.name,"심판의 칼날",Blade of Judgement,審判の刃
heroes.ssr_arch_angel.skills.blade.desc,"적 3명에게 신성 칼날 투척 ATK×4","Throws holy blades at 3 enemies for ATK x4 Damage.","敵3体に神聖な刃を投げ、攻撃力x4のダメージ。"
heroes.ssr_arch_angel.skills.burst.name,"빛의 분출",Light Burst,光の噴出
heroes.ssr_arch_angel.skills.burst.desc,"타겟 주위 광역 ATK×5 신성 피해","Deals AoE ATK x5 Holy Damage around the target.","ターゲット周囲広範囲に攻撃力x5の神聖ダメージ。"
heroes.ssr_arch_angel.skills.wings.name,"응징의 날개",Avenging Wrath,アヴェンジング・ラス
heroes.ssr_arch_angel.skills.wings.desc,"20초간 공격력 2배 및 모든 공격 광역화","2x ATK and makes all attacks AoE for 20s.","20秒間攻撃力2倍およびすべての攻撃を広範囲化。"
heroes.ssr_arch_angel.skills.judgement_day.name,"심판의 날",Judgement Day,審判の日
heroes.ssr_arch_angel.skills.judgement_day.desc,"모든 적에게 ATK 1500% 신성 피해 및 정화","Deals ATK 1500% Holy Damage and Purifies all enemies.","すべての敵に攻撃力1500%の神聖ダメージおよび浄化。"
heroes.ssr_demon_lord.name,"파멸의 악마군주",Demon Lord,悪魔軍主
heroes.ssr_demon_lord.lore,"균열을 넘어온 지옥의 사령관. 불타는 군단을 지휘하며 적의 영혼을 파괴한다.","Hell commander who crossed the rift. Commands the burning legion and destroys enemy souls.","亀裂を越えてきた地獄の司令官。燃える軍団を指揮し、敵の魂を破壊する。"
heroes.ssr_demon_lord.routes.demon_lord_chaos.name,"파멸",Chaos,破滅
heroes.ssr_demon_lord.routes.demon_lord_chaos.variantName,"혼돈의 일격",Chaos Strike,混沌の一撃
heroes.ssr_demon_lord.routes.demon_lord_chaos.variantDesc,"공격 시 {value}% 확률로 대상에게 3배 피해.","When Attack, {value}% Chance to deal 3x Damage.","攻撃時{value}%の確率で対象に3倍のダメージ。"
heroes.ssr_demon_lord.skills.fel_strike.name,"지옥 베기",Fel Strike,地獄斬り
heroes.ssr_demon_lord.skills.fel_strike.desc,"전방 모든 적에게 ATK×5 화염 피해","Deals ATK x5 Fire Damage to all enemies in front.","前方のすべての敵に攻撃力x5の火炎ダメージ。"
heroes.ssr_demon_lord.skills.summon_infernal.name,"지옥불 정령 소환",Summon Infernal,地獄火の精霊召喚
heroes.ssr_demon_lord.skills.summon_infernal.desc,"지옥불 정령 소환 (25초, 탱커)",Summons an Infernal (25s, Tank).,地獄火の精霊を召喚（25秒、タンク）。
heroes.ssr_demon_lord.summons.infernal.name,"지옥불 정령",Infernal,地獄火の精霊
heroes.ssr_demon_lord.skills.chaos_aura.name,"혼돈의 오라",Chaos Aura,混沌のオーラ
heroes.ssr_demon_lord.skills.chaos_aura.desc,"패시브: 주변 적 이동속도 30% 감소 및 지속 피해","Passive: Reduces nearby enemy Move Speed by 30% and deals continuous damage.","パッシブ：周囲の敵の移動速度30%減少および持続ダメージ。"
heroes.ssr_demon_lord.skills.soul_rend.name,"영혼 분쇄",Soul Rend,魂の粉砕
heroes.ssr_demon_lord.skills.soul_rend.desc,"단일 대상 ATK×10 암흑 피해 + 5초간 받는 피해 증가","Deals ATK x10 Shadow Damage + increases damage taken for 5s.","単体に攻撃力x10の暗黒ダメージ + 5秒間受けるダメージ増加。"
heroes.ssr_demon_lord.skills.world_ender.name,"세계의 종말",World Ender,世界の終末
heroes.ssr_demon_lord.skills.world_ender.desc,"전장 전체 거대 폭발 ATK×15 피해","Massive explosion on the entire battlefield for ATK x15 Damage.","戦場全体に巨大爆発、攻撃力x15のダメージ。"
heroes.ssr_demon_lord.routes.demon_lord_summon.name,"군주",Overlord,覇王
heroes.ssr_demon_lord.routes.demon_lord_summon.variantName,"악마의 권능",Demonic Power,悪魔の権能
heroes.ssr_demon_lord.routes.demon_lord_summon.variantDesc,"소환수가 소환된 동안 자신의 공격속도 {value}% 증가.","Increases self Attack Speed by {value}% while summons exist.","召喚獣が存在する間、自身の攻撃速度{value}%増加。"
heroes.ssr_demon_lord.skills.summon_imp.name,"임프 무리",Imp Swarm,インプの群れ
heroes.ssr_demon_lord.skills.summon_imp.desc,"임프 5마리 즉시 소환 (원딜)",Immediately summons 5 Imps (Ranged).,インプ5体を即座に召喚（遠距離）。
heroes.ssr_demon_lord.summons.imp.name,"지옥 임프",Fel Imp,地獄のインプ
heroes.ssr_demon_lord.skills.fel_guard.name,"지옥수호병",Felguard,地獄の守護兵
heroes.ssr_demon_lord.skills.fel_guard.desc,"강력한 지옥수호병 1명 소환 (상시)",Summons 1 powerful Felguard (Permanent).,強力な地獄の守護兵1体を召喚（常時）。
heroes.ssr_demon_lord.summons.guardian.name,"지옥수호병",Felguard,地獄の守護兵
heroes.ssr_demon_lord.skills.demonic_empowerment.name,"악마 강화",Demonic Empowerment,悪魔の強化
heroes.ssr_demon_lord.skills.demonic_empowerment.desc,"15초간 소환수들의 공격력 2배 증가",Doubles summons' ATK for 15s.,15秒間、召喚獣たちの攻撃力を2倍に増やす。
heroes.ssr_demon_lord.skills.portal.name,"관문 개방",Open Portal,門を開放
heroes.ssr_demon_lord.skills.portal.desc,"무작위 악마들이 쏟아져 나오는 관문 소환",Summons a portal from which random demons pour out.,ランダムな悪魔たちが溢れ出る門を召喚。
heroes.ssr_demon_lord.skills.legion_commander.name,"군단의 지휘관",Legion Commander,軍団の指揮官
heroes.ssr_demon_lord.skills.legion_commander.desc,"10명의 정예 악마 병사 소환 및 전격 돌격",Summons 10 Elite Demon Soldiers and charges forward.,精鋭悪魔兵士10体を召喚して電撃突進。
heroes.ssr_demon_lord.summons.elite_demon.name,"정예 악마병",Elite Demon,精鋭悪魔兵
heroes.ssr_dragon_aspect.name,"고대 드래곤 위상",Dragon Aspect,竜の位相
heroes.ssr_dragon_aspect.lore,"용의 탑 정점에 군림하는 태초의 용.","Primal dragon reigning at the peak of the Dragon Tower.","竜の塔の頂点に君臨する太初の竜。"
heroes.ssr_dragon_aspect.routes.dragon_god_time.name,"시간",Time,時間
